OBJECTID,record_id,date_opened,record_status,date_closed,address,record_type,record_type_category,record_type_group,record_type_subtype,record_type_type,record_type_4level,record_name,description,planner_id,module
"4,156",2018-013044PRJ,09/07/2018 12:00:00 AM +0000,Open,,1340 POWELL ST 94133,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1340 POWELL STREET,"DPW:  Fire Station 2, to remove the existing outdoor generator, existing concrete pad for the generator, and exhaust pipe. The existing generator is to be replaced with a new roof mounted generator, and a new flush mounted fuel port is to be installed at the south elevation in Fisher Alley. The existing fuel line is to be demolished back to the point of connection at existing tank.",VBYRD,Planning
"20,333",2017-009224PRJ,07/19/2017 12:00:00 AM +0000,Under Review,,601 VAN NESS AVE 94102,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,601 VAN NESS AVE,Conditional Use Authorization to permit the change of use from a movie theatre to a retail sales and service use.,MWOODS,Planning
"32,887",2016-011735PRJ,09/12/2016 12:00:00 AM +0000,Under Review,,1452 FLORIDA ST 94110,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1457 FLORIDA ST,NON LOAD BEARING WALL ON SIDE PORCH - NOT VISIBLE FROM STREET. NEW INTERIOR STAIRS TO ACCESS GARAGE,MPUTRA,Planning
"51,372",2015-005968PRJ,06/24/2015 12:00:00 AM +0000,Under Review,,1228 25TH ST 94107,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1228 25TH ST,"Construction of a new Small Enterprise Workspace building on a lot currently used as container storage.
The PPA was submitted on 4/20/15 and the 90 day deadline is 7/19/15.",JSPEIRS,Planning
"14,364",2017-016051PRJ,12/15/2017 12:00:00 AM +0000,Under Review,,167 DELMAR ST 94117,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,167 DELMAR ST,REMOVE SMALLER ROOF DECK AND REPLACE WITH FULL WIDTH ROOF DECK,GPANTOJA,Planning
"21,355",2017-008101PRJ,06/27/2017 12:00:00 AM +0000,Under Review,,216 RAMSELL ST 94132,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,216 Ramsell St,ADU PER ORDINANCE# 162-16. 1 BEDROOM & 1 BATH. THIS UNIT IS ADU ONLY. LEGALIZATION UNDER PA# 2016/09/14/7667.,GPANTOJA,Planning
"8,456",2018-007285PRL,05/17/2018 12:00:00 AM +0000,Open,,1787 10TH AVE 94122,Project Light (PRL),PRL,Planning,Project,Project,Planning/Project/Project/PRL,1787 10TH AVE,Revision to permit #2017-0217-9670.  Revision includes replacing interior stair; install 2 skylights; infill lightwell.  The project complies with rooms down requirements.,RTANNER,Planning
975,2018-016119PIC,11/29/2018 12:00:00 AM +0000,Consultation,,1784 REVERE AVE 94124,PIC Research (PIC),PIC,Planning,PIC Research,Research,Planning/Research/PIC Research/PIC,1784 REVERE AVE,Waiver ADU - Preliminary Plan Review,DWEISSGL,Planning
"1,541",2018-016137PRJ,11/09/2018 12:00:00 AM +0000,Open,,1429 VALENCIA ST 94110,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1429 Valencia Street,Convert a retail space (5700 sq. ft.) into a preschool/daycare,VBYRD,Planning
"34,534",2016-009846PRJ,07/28/2016 12:00:00 AM +0000,Open,,3305 03RD ST 94124,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,Backlands Asphalt Plant,"The proposed project involves the construction of an asphalt batch plant, which is a system of interconnected structures and machines.  All buildings in the commonly used sense of the word are mobile structures without foundations. Height given is for such a mobile building.  The tallest part of the tallest plant structure (bucket tower or tank) is 80'.",VBYRD,Planning
"4,490",2018-011928PRJ,08/30/2018 12:00:00 AM +0000,Under Review,,1730 GREAT HWY 94122,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1730 GREAT HWY,"Move front door out to street, creating a ""front room"" in front of inner stairs. Moving some non-structural inner walls to change hallway towards music room.",MPUTRA,Planning
"20,880",2017-008623PRJ,07/07/2017 12:00:00 AM +0000,Under Review,10/31/2017 12:00:00 AM +0000,248 03RD AVE 94118,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,248 3RD AVE,TO COMPLY WITH NOV 201759422: TO LEGALIZE AN UNWARRANTED UNIT AT THE GROUND FLOOR PURSUANT TO ORDINANCE 43-14. REPLACE PARTIAL (E) SLAB & FOUNDATION PER PLAN THIRD STORY DECK AND STAIR EXTENDING TO GRADE TO RETAIN REAR YARD ACCESS  FOR THE TOP FLOOR UNIT..,MCHANDLE,Planning
"61,996",2014.1322,08/27/2014 12:00:00 AM +0000,Under Review,,,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,Central Freeway/ Parcels R & S,"Redevelop existing vacant lot into an approximately 34,504 gross sq.ft. mixed-use project consisting of two dwellings with approximately 19,492 gross sq.ft. of affordable housing and approximately 4,925 gross sq.ft. of neighborhood-serving retail.",,Planning
"19,401",2017-010229PRJ,08/10/2017 12:00:00 AM +0000,Under Review,,766 VALLEJO ST 94133,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,766 VALLEJO ST,TOP FLOOR OF (E) PARKING STRUCTURE: INSTALL NEW MAXCELL THROUGH (E) CONDUITS TO (E) VERIZON WIRELESS CELL SITE. INSTALL 10LF OF NEW CONDUIT ISIDE EQUIPMENT ROOM TO (E) VERIZON WIRELESS 19IN RACK.,AWOODS,Planning
"1,789",2018-015173ZAD,11/06/2018 12:00:00 AM +0000,Pending Review,,302 SILVER AVE 94112,Zoning Administrator Determination Letter (ZAD),ZAD,Planning,Letters,Research,Planning/Research/Letters/ZAD,302 Silver Avenue - ZAD Request,Request for Letter of Determination,JHORN,Planning
"61,350",2014.1491,09/29/2014 12:00:00 AM +0000,Under Review,,"101 GRAFTON AV, SAN FRANCISCO, CA 94112",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,DPW Official Sidewalk Change Randolph 19th Ave,"Construct sidewalk bulb-outs on NW and SE corners of Randolph Street/19th  Ave, NE and SW corners of Randoph/Ramsell, NW corner of Randoph/Victoria, SE corner of Randoph/Heads, NW and SW corners of Randoph/Bright, NW and SE corners of Plymouth/Broad, and north, west and east sides of Randoph/Orizaba.",,Planning
"7,280",2018-008608PRJ,06/18/2018 12:00:00 AM +0000,Under Review,,75 REGENT ST 94112,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,75 REGENT ST,"CORRECT VIOLATION 201862501 AND 201842525 TO LEGALIZE 3 STORAGE ROOMS, 1 BATHRoOM AT THE BASEMENT LEVEL. MAHER N/A",BHICKS,Planning
"19,327",2017-010380TDU,08/11/2017 12:00:00 AM +0000,Under Review,,246 01ST ST 94105,Notice of Use-TDR (TDU),TDU,Planning,Letters,Research,Planning/Research/Letters/TDU,246 01ST ST,Notice of Use for transferable Development Rights,APERRY,Planning
42,2018-017226PIC,12/24/2018 12:00:00 AM +0000,Open,,1318 PLYMOUTH AVE 94112,PIC Research (PIC),PIC,Planning,PIC Research,Research,Planning/Research/PIC Research/PIC,1318 PLYMOUTH AVE,UDU Screening,DWEISSGL,Planning
"1,825",2018-015285PRJ,11/05/2018 12:00:00 AM +0000,Under Review,,1595 VAN NESS AVE 94109,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1595 VAN NESS AVE,To restore the 35-foot vintage Honda dealership automotive sign affixed to the northeast corner of the building.,KWILBORN,Planning
"28,133",2017-000531PRL,01/12/2017 12:00:00 AM +0000,Open,,330 HOWTH ST 94112,Project Light (PRL),PRL,Planning,Project,Project,Planning/Project/Project/PRL,330 HOWTH ST,"replace windows with new wood composite fibrex windows - 2 casements with fixed center a the front, 3 casements at the rear.",SPARKS,Planning
705,2018-016399PRJ,12/05/2018 12:00:00 AM +0000,Accepted,,1805 DIVISADERO ST 94115,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1805 DIVISADERO ST,"11/29/2018 9:56:31 AM 
 Description:  COMPLY W/ NOV 201777332 BEFORE RESTORE DWELLING UNIT @ THE 2/FLOOR. LEGALIZATION OF RESIDENTIAL UNIT ON 2ND FLOOR ,FRONT.",EGORDON,Planning
"1,197",2018-015460PRJ,11/20/2018 12:00:00 AM +0000,Under Review,,151 RUSS ST 94103,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,151-153 Russ Street,ADU at first floor ORD 162-16,MCHANDLE,Planning
"30,517",2016-014415PRJ,11/07/2016 12:00:00 AM +0000,Under Review,,1779 22ND AVE 94122,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1779 22ND AVE,CONVERT EXISTING GROUND FLOOR IN-LAW UNIT FOR A LEGAL IN-LAW DWELLING UNIT PER ORD 43-14.,SADINA,Planning
183,2018-007380PRJ,12/19/2018 12:00:00 AM +0000,Submitted,,1320 WASHINGTON ST 94109,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1320 WASHINGTON ST,"Project proposes to demolish the existing building and construct a 65-foot, six-story over basement residential
condominium building, containing approximately 40,369 gross square feet of residential space and 22 dwelling units,
and approximately 8,570 square feet of subterranean parking and storage.",LCALMESE,Planning
"22,047",2017-007320PRL,06/12/2017 12:00:00 AM +0000,Under Review,,1778 HAIGHT ST 94117,Project Light (PRL),PRL,Planning,Project,Project,Planning/Project/Project/PRL,1778 HAIGHT ST,"TENANT IMPROVEMENT TO (E) VACANT SPACE TO (N) NAIL SALON TO INCLUDE (N) ACCESSIBLE RESTROOM, MANICURE/PEDICURE STATIONS, WAX ROOMS AND BREAKROOM. No alteration to front faade or fenestration.",JHORN,Planning
"16,346",2017-013675PRJ,10/24/2017 12:00:00 AM +0000,Under Review,,679 33RD AVE 94121,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,679 33RD AVE,LEGALIZE DWELLING UNIT AT FIRST FLOOR PER ORDINANCE 43-14.,DGANETSO,Planning
"66,973",2014.0002,01/02/2014 12:00:00 AM +0000,Under Review,,"1244 TREAT AV, SAN FRANCISCO, CA 94110",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1244 TREAT AV,Variance request to the rear yard requirement to remove a storage structure within the rear yard and replace it with a garage to provide one off-street required parking space.,CTOWNES,Planning
"34,041",2016-010417PRJ,08/11/2016 12:00:00 AM +0000,Under Review,,220 MONTGOMERY ST 94104,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,220 MONTGOMERY ST,PAINTED DOOR/WINDOW SIGN,FMCMILLE,Planning
"17,148",2017-012946PRJ,10/04/2017 12:00:00 AM +0000,Under Review,,2121 MASON ST 94133,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,2121 MASON ST,Variance from the front set back and the rear yard requirements to permit the renovation of an existing single-family home located on a through lot that extends from Mason Street to Newell Street.,SADINA,Planning
"5,079",2018-011147PRJ,08/14/2018 12:00:00 AM +0000,Under Review,,1300 FULTON ST 94117,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1300 FULTON ST,"PER NOV #2018006057 ENF, CLARIFICATION AND PLAN REVISION TO INCLUDE REVISED SCOPE OF WORK TO REMOVE CORNER ENTRANCE DOORS AND REPLACE WITH WINDOW IN SAME OPENING. NO STRUCTURAL WORK REQUIRED. PER APP# 201506189281 (SUSPENDED",RRACHNA,Planning
"35,809",2016-008435TDU,06/28/2016 12:00:00 AM +0000,On Hold,,1275 MARKET ST 94103,Notice of Use-TDR (TDU),TDU,Planning,Letters,Research,Planning/Research/Letters/TDU,1275 MARKET ST,Notice of Use for Transferable Development Rights.,CGROB,Planning
"18,576",2017-006737PRJ,08/31/2017 12:00:00 AM +0000,Open,,424 ELLIS ST 94102,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,424 ELLIS ST,Construct a new building on a portion of a lot that has been used for parking. There is an existing apartment building which will remain unaltered. The new building will have ground floor commercial facing Ellis Street. The site slopes up hill from Ellis to Antonio where there will be a second entry to a partial 2nd floor (partial to allow for higher ceilings at the commercial floor). There will be 10 dwelling units on 3 floors above.,VBYRD,Planning
"62,201",2014.1279,08/19/2014 12:00:00 AM +0000,Under Review,,935 MARIPOSA ST 94107,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,249 PENNSYLVANIA AV,Demolition of two (2) existing hardware warehouses and new construction of a 4-story building with 3 stories of residential units and ground floor with residential/commercial spaces.  Proposed parking on ground floor/basement level to provide 44.,CTOWNES,Planning
"3,120",2018-013462PRJ,10/02/2018 12:00:00 AM +0000,Accepted,,3995 ALEMANY BLVD 94132,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,3995 ALEMANY BLVD,Conditional Use Authorization request for change of use from a vacant Albertson Grocery Store to proposed new H Mart Grocery Store with internal restaurants.,VLEWIS,Planning
"49,171",2015-008484PRJ,08/12/2015 12:00:00 AM +0000,Under Review,09/22/2015 12:00:00 AM +0000,856 MARKET ST 94102,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,856 Market Street,new faade on Market Street in conjunction with full building interior renovation under a separate permit.  Samuels Clock (SF landmark #77) will not be affected.  No expansion of the building envelope is proposed.,MLAVALLE,Planning
670,2018-016463PRJ,12/06/2018 12:00:00 AM +0000,Accepted,,1151 FELL ST 94117,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1151 FELL ST,TO COMPLY WITH NOV 201837621 DEMO PERMIT. DEMO (E) ATTACHED UNPERMITTED SUNROOM & INTERIOR FINISHES,RSUCRE,Planning
"63,630",2014.0909,06/11/2014 12:00:00 AM +0000,Under Review,,"140 ELLIS ST, SAN FRANCISCO, CA 94102",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,140 ELLIS ST,Hotel Conversion,,Planning
"62,371",2014.1222,08/11/2014 12:00:00 AM +0000,Under Review,,"1267 CHESTNUT ST, SAN FRANCISCO, CA 94109",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1267 CHESTNUT ST,6 Units Condo. Conversion,,Planning
"40,126",2015-016239PRJ,03/11/2016 12:00:00 AM +0000,Under Review,,1170 HARRISON ST 94103,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1170 HARRISON ST,"The Project Sponsor proposes to make interior alterations to the existing building at 1170 Harrison Street.  The project involves transforming the existing one-story warehouse with a mezzanine into two-stories of office space.  There will be no expansion of the building envelope.  The exterior of the building will be renovated in compliance with the Secretary of the Interior's Standards.  All existing door and window openings will be retained.  If any replacement will be necessary, the replacement will replicate the original look and materials as closely as possible.
The PPA was submitted on 12/4/15 and the 90 day deadline is 3/3/16.",NKWIATKO,Planning
"64,936",2014.0576,04/18/2014 12:00:00 AM +0000,Under Review,,"1156 TREAT AV, SAN FRANCISCO, CA 94110",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1156 TREAT AV,3 Unit Condo Conversion (DPW ECP),,Planning
"61,954",2014.1391,08/28/2014 12:00:00 AM +0000,Under Review,,"101 TOPEKA AV, SAN FRANCISCO, CA 94124",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,101 TOPEKA AV,Horizontal and vertical expansion; excavate basement.,EJARDINE,Planning
"2,305",2018-014467PRJ,10/23/2018 12:00:00 AM +0000,Under Review,,3627 ORTEGA ST 94116,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,3627 ORTEGA ST,"MAIN FLOOR UNIT LEGALIZATION PER ORDINANCE 43-14. COMPLY WITH NOTICE OF VIOLATION #201881531 AND #201881031, ITEMS #6,7,8,9 AND 10",DWEISSGL,Planning
"14,548",2017-015859PRL,12/12/2017 12:00:00 AM +0000,Under Review,,1650 MISSION ST 94103,Project Light (PRL),PRL,Planning,Project,Project,Planning/Project/Project/PRL,1650 MISSION ST,Alton's test PRL,ACHINN,Planning
"10,103",2018-005333PRJ,04/06/2018 12:00:00 AM +0000,Under Review,,"160 GILBERT ST, #4 94103",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,160 GILBERT ST,UNIT # 4 - CHANGE OF USE FROM MCD TO CANNABIS RETAIL. REF PA#201605056621. .,MCHRISTE,Planning
"59,845",2014-001303PRJ,11/12/2014 12:00:00 AM +0000,Under Review,,4529 A 18TH ST 94114,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,4529A 18th Street,Rear building on lot - add ADU on ground floor in existing workspace.,DGANETSO,Planning
"2,372",2018-014281PRJ,10/22/2018 12:00:00 AM +0000,Under Review,,810 VALLEJO ST 94133,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,810 Vallejo Street,"Convert storage spase at basement level  to 2 New adccesory dwelling units per ORD 162-16, 2 new set of stairs to basement level at Vallejo Street.",MCHANDLE,Planning
"123,240",2004.0482,05/19/2004 12:00:00 AM +0000,Under Review,,"0 V, SAN FRANCISCO, CA",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,5400 GEARY BL,"CU/PUD for the renovation of an existing building and construction of a new mixed-use building consisting of (1) existing Alexandria Theater building would be preserved; second floor would be expanded to create a full-service restaurant (preserving one theater screen); and ground floor would be for retail use; and (2) a new four-story mixed-use building would be constructed on the surface parking lot behind the theater - 43 dwelling units with five on-site below-market rate units; 94 off-street parking spaces (2-floors below grade); 56 bicycle parking spaces; and appx. 1,100 square feet of ground floor retail space.",MWOODS,Planning
"63,756",2014.0852,06/05/2014 12:00:00 AM +0000,Under Review,,"527 STEVENSON ST, SAN FRANCISCO, CA 94103",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,529STEVENSON ST/ 550 Jessie St,60 Residential & 1 Commercial Units Mixed Use New Construction Condominium,,Planning
"70,968",2013.0698,05/31/2013 12:00:00 AM +0000,Under Review,05/09/2016 12:00:00 AM +0000,"130 WISCONSIN ST, SAN FRANCISCO, CA 94107",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1301 - 16TH STREET,"The proposed project would involve demolition of an existing one-story warehouse and construction of a new 6-story, 68-foot tall, 172-unit, mixed-use building proposing a total of 184,712 gross square feet. The project includes 3,571 square feet of ground floor retail space, 3,297 square feet of ground floor PDR, up to 111 off-street parking spaces and 264 bicycle parking spaces.
7/17/2018 - RELOCATE FIRE PUMP TO EXTERIOR OF BLDG PER SFFD INCREASE QUANTITY OF FIRE PUMPS FROM 1 TO 2 TO AVOID ENTIRE ELECTRICAL DESIGN (REF. PA #2017/0502/5455-S2",CTOWNES,Planning
"28,092",2017-000617PRJ,01/13/2017 12:00:00 AM +0000,Under Review,,46 ALOHA AVE 94122,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,46 ALOHA AVE,PROVIDE NEW STAIRS AT REAR CONNECTION UPPER AND LOWER DECKS,GPANTOJA,Planning
"64,003",2014.0801,05/27/2014 12:00:00 AM +0000,Under Review,,"1 TELEGRAPH HILL BL, SAN FRANCISCO, CA 94133",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,RPD - PIONEER PARK (1 Telegraph Hill Blvd),Replace 12 bollard light fixtures along outside edge of the sidewalk on the upper and lower terraces.,,Planning
"11,396",2018-003208PRJ,03/06/2018 12:00:00 AM +0000,Under Review,,320 21ST AVE 94121,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,320 21ST AVE,"NEW DWELLING UNIT @ REAR OF BLDG (842SF), NEW EXTERIOR STAIR @ SIDE OF EXISTING BLDG,2 BATHS IN UNIT, PASSAGEWAY FROM LIGHTWELL THROUGH 1ST FL UNDER 2ND STORY",SYOUNG,Planning
"14,366",2017-016045PRJ,12/15/2017 12:00:00 AM +0000,Under Review,,24 FOUNTAIN ST 94114,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,24 FOUNTAIN ST,"TO ERECT 4 STORIES, 1 BASEMENT, TYPE V-A, 2 UNITS RESIDENTIAL BUILDING.",LIAJELLO,Planning
"47,238",2015-012878PRJ,09/25/2015 12:00:00 AM +0000,Under Review,,1695 FOLSOM ST 94103,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1695 FOLSOM ST,"TO ERECT 5 STORIES, 1 BASEMENT, 4 UNITS RESIDENTIAL UNITS WITH BAR OR LIMITED RESTAURANT. ** MAHER: COMPLIANCE WITH ORDINANCE NO# 155-13 REQUIRED; ROUTE TO DPH **",EJARDINE,Planning
"6,870",2018-009044PRJ,06/27/2018 12:00:00 AM +0000,Under Review,,425 BRANNAN ST 94107,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,425 BRANNAN ST,"INSTALL 2 ELECTRIC SINGLE FACED WALL SIGN ""CAPGEMINI""",JVIMR,Planning
"19,892",2017-009685PRL,07/31/2017 12:00:00 AM +0000,Open,,301 EUGENIA AVE 94110,Project Light (PRL),PRL,Planning,Project,Project,Planning/Project/Project/PRL,301 EUGENIA AVE,Replacing 4 windows like for like with wood clad (paintable). All 4 windows are street visible. Replacing vinyl with wood clad paintable (Ufactor < 32; bedrooms comply with Egress). Windows are on lower elevation - 1st floor,BBENDIX,Planning
"53,621",2015-000058PRJ,04/29/2015 12:00:00 AM +0000,Under Review,,2500 TURK BLVD 94118,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,2500 - 2698 Turk Street - Lone Mountain Campus,"Demolition of a one story building and new construction of two buildings connected by an elevated walkway.  A combined total of 205,000 gsf, excluding the underground garage (77,000 gsf).  The buildings will provide approximately 600 beds in approximately 444 bedrooms between the two buildings.",MWOODS,Planning
"5,557",2018-006960PRJ,08/03/2018 12:00:00 AM +0000,Accepted,,51 ELGIN PARK 94103,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,51-55 ELGIN PARK (150 VALENCIA ),Variance request from the lot size and rear yard requirements to permit a lot line adjustment.,,Planning
"36,626",2016-007467PRJ,06/07/2016 12:00:00 AM +0000,Under Review,,360 WEST PORTAL AVE 94127,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,360A West Portal Avenue,Legalize existing use as a Business and Professional Service business.,BHICKS,Planning
"61,828",2014.1356,09/03/2014 12:00:00 AM +0000,Under Review,,"4025 23RD ST, SAN FRANCISCO, CA 94114",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,4025 - 4029 23RD ST,3 Unit Condo Conversion (DPW ECP),,Planning
396,2018-016815PIC,12/13/2018 12:00:00 AM +0000,Consultation,,391 HAIGHT ST 94102,PIC Research (PIC),PIC,Planning,PIC Research,Research,Planning/Research/PIC Research/PIC,391-393 HAIGHT STREET,ADU,DGANETSO,Planning
"6,037",2018-010078PRJ,07/23/2018 12:00:00 AM +0000,Under Review,,114 POWELL ST 94102,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,114 POWELL ST,Develop guidelines for new storefront at Powell and Ellis Streets. Scope of work from sidewalk to top of set up signage zones along Powell and Ellis Street for future tenants to use.,RSALGADO,Planning
"26,382",2017-002600PRJ,03/01/2017 12:00:00 AM +0000,Under Review,,544 CLAYTON ST 94117,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,544 CLAYTON ST,TO COMPLY WITH NOV 201637301 - REVERTING NON-PERMITTED ATTIC OF OCCUPANCY BACK TO LAST PERMITTED USE AS AN ATTIC. RESTORE ORIGINAL CONFIGURATION OF ROOM ON LOWER FLOOR. INSTALL NEW TUBE SKYLIGHTS AT ROOF,MBOUDREA,Planning
"2,413",2018-014321PRJ,10/19/2018 12:00:00 AM +0000,Accepted,,555 SAN JOSE AVE 94110,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,555 SAN JOSE AVE,1ST AND 2ND FLOOR. INTERIOR DEMO on 1ST & 2ND LEVEL. BUILD BACK OUTPAITENT MEDICAL OFFICES ON BOTH LEVELS. MEP INCLUDED.,RSUCRE,Planning
"46,195",2015-006513PRJ,10/20/2015 12:00:00 AM +0000,Open,,45 DORE ST 94103,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,45 DORE ST,"Retain all existing exterior walls, restore the damaged portions of the faade and redevelop the site into a new 4-story residential building containing rental group housing.
The PPA was submitted on 5/18/15 and the 90 day deadline is 8/16/15.",VBYRD,Planning
"45,735",2015-014567PRJ,11/02/2015 12:00:00 AM +0000,Submitted,,1650 MISSION ST 94103,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,Chrome Test No. 205,Another PRJ with ASIT deletions,ACHINN,Planning
53,2018-017178PRJ,12/21/2018 12:00:00 AM +0000,Open,,1415 MARKET ST 94103,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1415 MARKET ST,"To establish a formula retail use d.b.a. Phillz Coffee, Inc.",LCALMESE,Planning
"1,524",2018-015444PRJ,11/13/2018 12:00:00 AM +0000,Accepted,,522 29TH AVE 94121,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,522 29th Avenue,DU Legalization at ground floor per ord 43-14,KPHUNG,Planning
450,2018-016528PRJ,12/12/2018 12:00:00 AM +0000,Accepted,,1519 VAN DYKE AVE 94124,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1519 VAN DYKE AVENUE,Legalization,MBOUDREA,Planning
"5,555",2018-010700PRJ,08/03/2018 12:00:00 AM +0000,Accepted,,4018 24TH ST 94114,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,4018 24TH ST,Conditional Use Authorization request to install cooking equipment to change use from limited restaurant to restaurant with beer and wine sales.,DGANETSO,Planning
"3,439",2018-013245PRJ,09/25/2018 12:00:00 AM +0000,Accepted,,33 CORNWALL ST 94118,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,33 CORNWALL ST,Variance from the rear yard requirement to permit the replacement of a staircase within the required rear-yard.,EGORDON,Planning
472,2018-008276PRJ,12/12/2018 12:00:00 AM +0000,Accepted,,3214 BALBOA ST 94121,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,3214 Balboa Street,LEGALIZATION (UL) OF (1) UNAUTHORIZED DWELLING UNIT PER ORDINANCE 43-14 IN AN (E) 2-UNITS BUILDING. TOTAL -> (3) DWELLING UNITS.,MBOUDREA,Planning
"6,561",2018-009387PRJ,07/06/2018 12:00:00 AM +0000,Under Review,,3609 TARAVAL ST 94116,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,3609 TARAVAL ST,"TO COMPLY WITH NOV #201872771. CONSTRUCTION OF YARDSIDE FENCE 15'-9"" TALL.",BHICKS,Planning
"64,211",2014.0758,05/16/2014 12:00:00 AM +0000,Under Review,,"775 SANCHEZ ST, SAN FRANCISCO, CA 94114",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,777 SANCHEZ ST,Mandatory Discretionary Review for a dwelling unit merger from two units to one unit.,,Planning
